격분한,"['anger', '0.964']"
야만성,"['anger', '0.959']"
증오,"['anger', '0.510']"
증오심이 많은,"['anger', '0.940']"
겁 먹게하다,"['anger', '0.939']"
맹렬히,"['anger', '0.938']"
격노 한,"['anger', '0.938']"
맹렬한,"['anger', '0.719']"
성나게 하는,"['anger', '0.927']"
격렬히,"['anger', '0.927']"
NO TRANSLATION,"['anger', '0.031']"
살인자,"['anger', '0.922']"
격노,"['anger', '0.885']"
실행,"['anger', '0.917']"
분노한,"['anger', '0.916']"
야만 상태,"['anger', '0.915']"
도살,"['anger', '0.914']"
망할 놈,"['anger', '0.742']"
전멸,"['anger', '0.912']"
암살하다,"['anger', '0.912']"
싫어하다,"['anger', '0.816']"
저주,"['anger', '0.485']"
살인,"['anger', '0.783']"
격렬한 감격,"['anger', '0.900']"
적의,"['anger', '0.500']"
억누르다,"['anger', '0.500']"
성난,"['anger', '0.824']"
복수심에 찬,"['anger', '0.894']"
강간,"['anger', '0.894']"
사나운,"['anger', '0.894']"
말살 된,"['anger', '0.894']"
폭음하다,"['anger', '0.894']"
폭발물,"['anger', '0.894']"
죽이는,"['anger', '0.893']"
싸우는,"['anger', '0.891']"
gofuckyourself,"['anger', '0.886']"
복수,"['anger', '0.436']"
고통,"['anger', '0.469']"
나쁜,"['anger', '0.441']"
대학살,"['anger', '0.712']"
험악한,"['anger', '0.882']"
화나게,"['anger', '0.875']"
혐오스러운,"['anger', '0.875']"
피에 굶주린,"['anger', '0.875']"
싸움,"['anger', '0.625']"
멸종 된,"['anger', '0.865']"
공격의,"['anger', '0.865']"
애국자,"['anger', '0.864']"
유혈,"['anger', '0.864']"
강타,"['anger', '0.862']"
말다툼,"['anger', '0.641']"
폭행,"['anger', '0.859']"
악의 있는,"['anger', '0.656']"
목을 졸라 매다,"['anger', '0.859']"
장황한 연설,"['anger', '0.859']"
터지다,"['anger', '0.859']"
암살,"['anger', '0.859']"
기분 나쁜,"['anger', '0.857']"
지옥,"['anger', '0.594']"
살인적인,"['anger', '0.853']"
공격,"['anger', '0.549']"
테러,"['anger', '0.851']"
고동,"['anger', '0.849']"
신성 모독,"['anger', '0.576']"
짜증나게 군다,"['anger', '0.848']"
격분,"['anger', '0.424']"
찌르다,"['anger', '0.379']"
학살,"['anger', '0.844']"
격렬한,"['anger', '0.734']"
파괴하는,"['anger', '0.844']"
질색,"['anger', '0.844']"
떠들썩한,"['anger', '0.420']"
침을 뱉다,"['anger', '0.844']"
격분하게하는,"['anger', '0.844']"
말살하다,"['anger', '0.843']"
교전국,"['anger', '0.841']"
반항,"['anger', '0.609']"
찌르기,"['anger', '0.544']"
고문,"['anger', '0.833']"
무서운,"['anger', '0.368']"
날 뛰다,"['anger', '0.833']"
잔학,"['anger', '0.833']"
미움,"['anger', '0.828']"
악마 같은,"['anger', '0.788']"
싫어하는,"['anger', '0.359']"
폭군의,"['anger', '0.828']"
래그 모드,"['anger', '0.828']"
비열한,"['anger', '0.828']"
파멸적인,"['anger', '0.825']"
비난하다,"['anger', '0.548']"
폭동,"['anger', '0.652']"
헐다,"['anger', '0.824']"
구제,"['anger', '0.824']"
멍청이,"['anger', '0.824']"
선명한,"['anger', '0.821']"
광인,"['anger', '0.820']"
복수심 있는,"['anger', '0.819']"
사나움,"['anger', '0.818']"
역겨운,"['anger', '0.636']"
위협하다,"['anger', '0.818']"
테러리스트,"['anger', '0.818']"
야만인,"['anger', '0.814']"
포악,"['anger', '0.814']"
남용,"['anger', '0.812']"
폭군,"['anger', '0.812']"
새끼,"['anger', '0.812']"
열망하는,"['anger', '0.812']"
상호 복수,"['anger', '0.812']"
파괴자,"['anger', '0.812']"
연기가 나는,"['anger', '0.812']"
야만인 같은,"['anger', '0.812']"
분노,"['anger', '0.811']"
조각,"['anger', '0.810']"
쾅,"['anger', '0.422']"
구멍을 뚫은,"['anger', '0.803']"
암캐,"['anger', '0.578']"
펀칭,"['anger', '0.803']"
파괴적인,"['anger', '0.797']"
무자비한,"['anger', '0.797']"
악한 같은,"['anger', '0.797']"
찰싹,"['anger', '0.791']"
도살장,"['anger', '0.788']"
처벌하는,"['anger', '0.788']"
의해 파괴됨,"['anger', '0.788']"
보복적인,"['anger', '0.788']"
고함,"['anger', '0.788']"
growthefuckup,"['anger', '0.788']"
충돌,"['anger', '0.578']"
피의,"['anger', '0.781']"
지옥 같은,"['anger', '0.781']"
싫은,"['anger', '0.442']"
폭발,"['anger', '0.757']"
불길한,"['anger', '0.203']"
비난하는,"['anger', '0.453']"
믿을 수 없는,"['anger', '0.779']"
보복하다,"['anger', '0.773']"
격변,"['anger', '0.773']"
마더,"['anger', '0.773']"
경멸,"['anger', '0.672']"
탄탄한,"['anger', '0.766']"
폭탄,"['anger', '0.766']"
무정부주의자,"['anger', '0.765']"
폐허,"['anger', '0.765']"
화내다,"['anger', '0.765']"
폭풍,"['anger', '0.507']"
경멸적인,"['anger', '0.562']"
잔인한,"['anger', '0.719']"
치명적인,"['anger', '0.712']"
스매시,"['anger', '0.758']"
폭언,"['anger', '0.758']"
혼란,"['anger', '0.500']"
모독하는,"['anger', '0.750']"
긁다,"['anger', '0.750']"
독서 가방,"['anger', '0.750']"
으르렁 거리는 소리,"['anger', '0.649']"
stfu,"['anger', '0.750']"
속악,"['anger', '0.750']"
돈,"['anger', '0.074']"
미친,"['anger', '0.500']"
경멸하다,"['anger', '0.750']"
공포,"['anger', '0.750']"
악화시키는,"['anger', '0.750']"
반란군,"['anger', '0.750']"
위협,"['anger', '0.703']"
나다,"['anger', '0.742']"
외침,"['anger', '0.661']"
폭력,"['anger', '0.742']"
끔찍한,"['anger', '0.742']"
방해,"['anger', '0.576']"
나쁜 놈들,"['anger', '0.741']"
대단원,"['anger', '0.735']"
협박하는,"['anger', '0.735']"
악마,"['anger', '0.621']"
눌러 터뜨리는,"['anger', '0.735']"
조금도,"['anger', '0.735']"
박해하다,"['anger', '0.734']"
논하다,"['anger', '0.734']"
팔다,"['anger', '0.625']"
반란,"['anger', '0.531']"
뒹굴다,"['anger', '0.484']"
비탄하다,"['anger', '0.734']"
전쟁,"['anger', '0.734']"
폭동의,"['anger', '0.734']"
언쟁,"['anger', '0.729']"
호전적인,"['anger', '0.728']"
거세,"['anger', '0.727']"
사보타주,"['anger', '0.727']"
스트라이크,"['anger', '0.721']"
재앙,"['anger', '0.721']"
비참한,"['anger', '0.371']"
소란,"['anger', '0.618']"
미치게 하다,"['anger', '0.719']"
비명,"['anger', '0.316']"
배반,"['anger', '0.719']"
해충,"['anger', '0.348']"
아치 홀,"['anger', '0.624']"
말장난,"['anger', '0.719']"
악화시키다,"['anger', '0.719']"
짓궂은,"['anger', '0.719']"
몹시 웃기다,"['anger', '0.719']"
경멸감,"['anger', '0.719']"
초크,"['anger', '0.719']"
야만적 인,"['anger', '0.719']"
압착 롤러,"['anger', '0.714']"
무정부주의,"['anger', '0.714']"
절단,"['anger', '0.485']"
범죄자,"['anger', '0.530']"
비난,"['anger', '0.484']"
펀치,"['anger', '0.713']"
큰 시련,"['anger', '0.712']"
독성,"['anger', '0.712']"
싸우다,"['anger', '0.269']"
불경스러운,"['anger', '0.712']"
아프다,"['anger', '0.712']"
덤 버스,"['anger', '0.712']"
엉망이 된,"['anger', '0.706']"
극악한,"['anger', '0.706']"
악,"['anger', '0.333']"
자극받은,"['anger', '0.706']"
암살자,"['anger', '0.703']"
거시기,"['anger', '0.703']"
박해,"['anger', '0.703']"
살해자,"['anger', '0.703']"
채가다,"['anger', '0.703']"
꾸지람,"['anger', '0.703']"
악화 된,"['anger', '0.703']"
침략,"['anger', '0.279']"
무장 한,"['anger', '0.700']"
독,"['anger', '0.511']"
혼수 상태의,"['anger', '0.697']"
독액,"['anger', '0.697']"
전투,"['anger', '0.667']"
불만을 품은,"['anger', '0.693']"
교활한,"['anger', '0.375']"
공격자,"['anger', '0.691']"
원한,"['anger', '0.691']"
사형,"['anger', '0.690']"
기질,"['anger', '0.688']"
투옥,"['anger', '0.688']"
얕보다,"['anger', '0.315']"
약한 자를 괴롭히는 사람,"['anger', '0.688']"
미치광이,"['anger', '0.670']"
오줌 누운,"['anger', '0.688']"
지배,"['anger', '0.250']"
유아 살해,"['anger', '0.688']"
휘발성,"['anger', '0.687']"
근절,"['anger', '0.685']"
언짢은 기분,"['anger', '0.682']"
파괴하다,"['anger', '0.682']"
근절하다,"['anger', '0.682']"
악당,"['anger', '0.234']"
공격적으로,"['anger', '0.680']"
동요,"['anger', '0.424']"
절대권,"['anger', '0.676']"
자극적이다,"['anger', '0.676']"
욕설,"['anger', '0.673']"
악명 높은,"['anger', '0.338']"
조어,"['anger', '0.672']"
추잡한,"['anger', '0.574']"
지지,"['anger', '0.672']"
샷,"['anger', '0.672']"
해로운,"['anger', '0.394']"
악화,"['anger', '0.344']"
유해한,"['anger', '0.562']"
비겁한,"['anger', '0.672']"
사격,"['anger', '0.672']"
부패하는,"['anger', '0.672']"
가하다,"['anger', '0.633']"
밀어 넣는,"['anger', '0.672']"
잔인하게,"['anger', '0.672']"
범죄,"['anger', '0.578']"
분화,"['anger', '0.667']"
추악한,"['anger', '0.667']"
촬영,"['anger', '0.667']"
발 차기,"['anger', '0.667']"
적극적인,"['anger', '0.667']"
히트,"['anger', '0.667']"
치열한,"['anger', '0.667']"
적,"['anger', '0.441']"
민감한,"['anger', '0.667']"
처벌 된,"['anger', '0.662']"
매복,"['anger', '0.661']"
괴롭히다,"['anger', '0.212']"
침략자,"['anger', '0.656']"
적 그리스도,"['anger', '0.656']"
핏덩어리,"['anger', '0.656']"
향,"['anger', '0.656']"
내쫓다,"['anger', '0.656']"
파괴,"['anger', '0.470']"
악의,"['anger', '0.600']"
까다로운,"['anger', '0.357']"
불쾌한,"['anger', '0.453']"
찰싹 때리기,"['anger', '0.652']"
보복,"['anger', '0.614']"
노예,"['anger', '0.652']"
모욕하는,"['anger', '0.652']"
실행자,"['anger', '0.644']"
트랏,"['anger', '0.644']"
최후의 심판의 날,"['anger', '0.643']"
외설,"['anger', '0.424']"
포,"['anger', '0.641']"
큰 파란,"['anger', '0.641']"
불화,"['anger', '0.561']"
grr,"['anger', '0.641']"
방화,"['anger', '0.641']"
견책,"['anger', '0.641']"
제명,"['anger', '0.641']"
용서가없는,"['anger', '0.641']"
고발 당한,"['anger', '0.641']"
분개하다,"['anger', '0.641']"
걸쇠,"['anger', '0.641']"
상처,"['anger', '0.561']"
자살적인,"['anger', '0.636']"
중독 된,"['anger', '0.636']"
반죽,"['anger', '0.636']"
발길질,"['anger', '0.636']"
교수형,"['anger', '0.636']"
매우,"['anger', '0.636']"
전투원,"['anger', '0.636']"
실망한,"['anger', '0.348']"
무정부 상태,"['anger', '0.636']"
현란한,"['anger', '0.636']"
난파 된,"['anger', '0.633']"
괴롭게 하는,"['anger', '0.632']"
기소하다,"['anger', '0.625']"
흥분한,"['anger', '0.630']"
사기,"['anger', '0.094']"
만자,"['anger', '0.627']"
명예 훼손적인,"['anger', '0.625']"
질식,"['anger', '0.625']"
성나게 하기,"['anger', '0.625']"
해치다,"['anger', '0.625']"
괴롭히는,"['anger', '0.344']"
채찍,"['anger', '0.531']"
급습,"['anger', '0.625']"
우뢰 같은,"['anger', '0.625']"
예속 된,"['anger', '0.625']"
미친 것 같은,"['anger', '0.621']"
짜증나게 하다,"['anger', '0.621']"
죄수,"['anger', '0.621']"
얼간이,"['anger', '0.606']"
훔침,"['anger', '0.621']"
앙갚음,"['anger', '0.621']"
박탈,"['anger', '0.409']"
저주 받은,"['anger', '0.574']"
헤로인,"['anger', '0.615']"
트 와츠,"['anger', '0.609']"
참을 수없는,"['anger', '0.609']"
압제자,"['anger', '0.609']"
노예 제도,"['anger', '0.609']"
과민 반응,"['anger', '0.609']"
몹시,"['anger', '0.609']"
한 떼,"['anger', '0.609']"
반대,"['anger', '0.469']"
배터리,"['anger', '0.609']"
불리한,"['anger', '0.609']"
불명예스러운,"['anger', '0.547']"
화나게 하는,"['anger', '0.606']"
혁명,"['anger', '0.606']"
자객,"['anger', '0.606']"
